ID,Work Item Type,Title,Description,Acceptance Criteria,Assigned To,State,Priority,Sprint,Epic,Story Points,Tags
HU-001,User Story,Registro de usuario con correo universitario,"Como estudiante de la UFV
Quiero registrarme usando mi correo universitario
Para acceder a un entorno seguro de la comunidad","- Solo acepta correos @ufv.es o @alumnos.ufv.es
- Valida contraseña (mín 8 chars, mayúscula, número, especial)
- Envía email de verificación
- Muestra mensaje de confirmación",Gonzalo de Lorenzo Vaquero,New,1,Sprint 1,Autenticación,8,MUST-BE
HU-002,User Story,Verificación de correo electrónico,"Como usuario registrado
Quiero verificar mi correo mediante un enlace
Para activar mi cuenta","- Email con enlace único válido 24h
- Al hacer clic activa la cuenta
- Permite reenviar si expira
- Redirige a login tras verificar",Gonzalo de Lorenzo Vaquero,New,1,Sprint 1,Autenticación,5,MUST-BE
HU-003,User Story,Inicio de sesión,"Como usuario verificado
Quiero iniciar sesión con correo y contraseña
Para acceder a las funcionalidades","- Valida credenciales correctamente
- Genera token de sesión
- Bloquea tras 5 intentos fallidos (15 min)
- Impide login sin verificar email",Gonzalo de Lorenzo Vaquero,New,1,Sprint 1,Autenticación,8,MUST-BE
HU-004,User Story,Recuperación de contraseña,"Como usuario que olvidó su contraseña
Quiero solicitar el restablecimiento
Para recuperar el acceso","- Envía email con enlace temporal (30 min)
- Nueva contraseña cumple requisitos
- Actualiza contraseña exitosamente
- Permite login con nueva contraseña",Gonzalo de Lorenzo Vaquero,New,2,Sprint 1,Autenticación,5,SHOULD
HU-005,User Story,Ver y editar perfil,"Como usuario autenticado
Quiero ver y editar mi información
Para mantener mis datos actualizados","- Muestra: nombre, correo, teléfono, foto, estadísticas
- Permite editar: nombre, teléfono, foto, biografía
- Valida tamaño de foto (máx 5MB)
- Guarda cambios correctamente",Alejandro de Pazos Tena,New,2,Sprint 1,Gestión Usuario,5,SHOULD
HU-006,User Story,Cerrar sesión,"Como usuario autenticado
Quiero cerrar sesión de forma segura
Para proteger mi cuenta","- Invalida token de sesión
- Redirige a página de login
- Impide acceso a páginas protegidas tras cerrar",Gonzalo de Lorenzo Vaquero,New,1,Sprint 1,Autenticación,3,MUST-BE
HU-009,User Story,Publicar un nuevo producto,"Como usuario autenticado
Quiero publicar objetos para prestar/alquilar/vender
Para ponerlos a disposición de otros estudiantes","- Formulario con: título, descripción, categoría, tipo, precio (opcional), estado, fotos (máx 5)
- Valida campos obligatorios
- Guarda con estado 'Disponible'
- Muestra confirmación y redirige a detalle",Alejandro de Pazos Tena,New,1,Sprint 2,Gestión Productos,13,MUST-BE
HU-010,User Story,Ver detalle de un producto,"Como usuario autenticado
Quiero ver todos los detalles de un producto
Para decidir si me interesa solicitarlo","- Muestra: galería fotos, título, descripción, categoría, tipo, precio, estado, info propietario
- Muestra botón 'Solicitar' si está disponible
- Si es mío: muestra 'Editar' y 'Eliminar'
- Indica disponibilidad claramente",Alejandro de Pazos Tena,New,1,Sprint 2,Gestión Productos,8,MUST-BE
HU-011,User Story,Editar producto publicado,"Como propietario de un producto
Quiero editar la información
Para actualizar detalles o cambiar disponibilidad","- Permite modificar todos los campos excepto tipo de transacción (si hay solicitudes)
- Actualiza información inmediatamente
- Permite agregar/eliminar fotos
- Opción marcar 'Temporalmente no disponible'",Alejandro de Pazos Tena,New,2,Sprint 2,Gestión Productos,5,SHOULD
HU-012,User Story,Eliminar producto publicado,"Como propietario de un producto
Quiero eliminar mi publicación
Para retirar el objeto de la plataforma","- Verifica que no hay transacciones activas
- Muestra diálogo confirmación
- Elimina permanentemente si confirma
- Rechaza si hay transacción activa",Alejandro de Pazos Tena,New,2,Sprint 2,Gestión Productos,3,SHOULD
HU-013,User Story,Ver mis productos publicados,"Como usuario que ha publicado objetos
Quiero ver todos mis productos en un lugar
Para gestionar mis publicaciones","- Organiza por estado: Disponibles, Prestados, No disponibles, Vendidos
- Muestra miniatura, título, categoría, estado, solicitudes
- Permite filtrar y ordenar
- Acceso rápido a editar",Alejandro de Pazos Tena,New,2,Sprint 2,Gestión Productos,5,SHOULD
HU-015,User Story,Categorización de productos,"Como usuario que publica productos
Quiero asignar categorías a mis objetos
Para que otros los encuentren fácilmente","- Lista predefinida: Electrónica, Libros, Material Académico, Deportes, Hogar, Ropa, Otros
- Selección obligatoria al publicar
- Permite cambiar al editar
- Usa categorías para filtrado",Gonzalo de Lorenzo Vaquero,New,1,Sprint 2,Gestión Productos,3,MUST-BE
HU-016,User Story,Buscar productos por texto,"Como usuario autenticado
Quiero buscar productos mediante texto libre
Para encontrar objetos específicos","- Barra búsqueda visible en página principal
- Busca en título, descripción y categoría
- Muestra resultados en cuadrícula con foto, título, tipo, precio
- Mensaje claro si no hay resultados",Alejandro de Pazos Tena,New,1,Sprint 2,Búsqueda,8,MUST-BE
HU-017,User Story,Filtrar productos por categoría y tipo,"Como usuario que busca productos
Quiero aplicar filtros
Para refinar mis resultados","- Panel lateral con filtros: Categorías (múltiples), Tipo transacción, Rango precio, Disponibilidad
- Aplica filtros en tiempo real
- Muestra número de resultados
- Botón 'Limpiar filtros'",Alejandro de Pazos Tena,New,2,Sprint 2,Búsqueda,8,SHOULD
HU-019,User Story,Solicitar un producto,"Como usuario interesado en un producto
Quiero enviar una solicitud al propietario
Para iniciar el proceso de préstamo/alquiler/compra","- Formulario con: fechas (si aplica), mensaje opcional (máx 300 chars)
- Envía solicitud al propietario
- Muestra confirmación
- Aparece en 'Mis solicitudes' con estado 'Pendiente'",Gonzalo de Lorenzo Vaquero,New,1,Sprint 3,Transacciones,13,MUST-BE
HU-020,User Story,Ver mis solicitudes enviadas,"Como usuario que ha enviado solicitudes
Quiero ver el estado de todas
Para hacer seguimiento","- Lista con: foto producto, título, propietario, fechas, estado, fecha solicitud
- Filtra por estado
- Permite cancelar pendientes
- No permite cancelar aceptadas",Gonzalo de Lorenzo Vaquero,New,1,Sprint 3,Transacciones,5,MUST-BE
HU-021,User Story,Gestionar solicitudes recibidas,"Como propietario de un producto
Quiero revisar y gestionar solicitudes
Para decidir a quién prestar/alquilar/vender","- Muestra contador en producto
- Lista con: solicitante, fechas, mensaje
- Permite ver perfil del solicitante
- Opciones 'Aceptar' o 'Rechazar' con mensaje opcional
- Rechaza automáticamente las demás al aceptar una",Gonzalo de Lorenzo Vaquero,New,1,Sprint 3,Transacciones,13,MUST-BE
HU-022,User Story,Confirmar inicio de transacción,"Como usuario en una solicitud aceptada
Quiero confirmar que se realizó la entrega
Para registrar el inicio formal","- Estado inicial 'Pendiente de entrega'
- Ambas partes deben confirmar entrega
- Solo pasa a 'En curso' cuando ambos confirman
- Opción 'Reportar problema' si no ocurre",Gonzalo de Lorenzo Vaquero,New,1,Sprint 3,Transacciones,8,MUST-BE
HU-023,User Story,Confirmar finalización de transacción,"Como usuario en una transacción activa
Quiero confirmar devolución/compra completada
Para cerrar formalmente","- Recordatorio automático antes de vencimiento
- Ambos confirman devolución (préstamo/alquiler)
- Comprador confirma recepción (venta)
- Producto vuelve a 'Disponible' o se marca 'Vendido'",Gonzalo de Lorenzo Vaquero,New,1,Sprint 3,Transacciones,8,MUST-BE
HU-024,User Story,Ver mis transacciones activas,"Como usuario con transacciones en curso
Quiero verlas todas
Para hacer seguimiento","- Pestañas: 'Prestado a mí' y 'Prestado por mí'
- Muestra: foto, título, otra persona, fechas, días restantes, estado
- Botones: 'Contactar' y 'Confirmar devolución'
- Opción 'Enviar recordatorio'",Gonzalo de Lorenzo Vaquero,New,2,Sprint 3,Transacciones,5,SHOULD
HU-025,User Story,Enviar mensaje a propietario,"Como usuario interesado en un producto
Quiero enviar mensaje al propietario
Para hacer preguntas antes de solicitar","- Botón 'Contactar' en detalle de producto
- Formulario simple (máx 500 chars)
- Envía mensaje
- Propietario recibe notificación",Alejandro de Pazos Tena,New,2,Sprint 3,Mensajería,5,SHOULD
HU-026,User Story,Ver bandeja de mensajes,"Como usuario de la plataforma
Quiero acceder a todos mis mensajes
Para gestionar conversaciones","- Lista de conversaciones (por producto)
- Badge numérico en no leídos
- Muestra: foto producto, otro usuario, último mensaje, fecha
- Marca como leído al abrir",Alejandro de Pazos Tena,New,2,Sprint 3,Mensajería,8,SHOULD
HU-027,User Story,Notificaciones en la aplicación,"Como usuario
Quiero recibir notificaciones de eventos importantes
Para estar al tanto de solicitudes y mensajes","- Eventos: nueva solicitud, solicitud aceptada/rechazada, nuevo mensaje, recordatorio devolución
- Icono campana con badge numérico
- Lista de notificaciones con enlace a acción
- Marca como leídas al hacer clic",Alejandro de Pazos Tena,New,2,Sprint 3,Mensajería,8,SHOULD
HU-029,User Story,Ver historial completo de transacciones,"Como usuario
Quiero acceder al historial de transacciones completadas
Para llevar un registro","- Lista cronológica de transacciones completadas
- Filtros: tipo, rango fechas, categoría
- Muestra: producto, otra persona, fechas, tipo, resultado
- Búsqueda en historial",Alejandro de Pazos Tena,New,2,Sprint 4,Historial,5,SHOULD
HU-030,User Story,Ver estadísticas personales,"Como usuario activo
Quiero ver estadísticas de mi participación
Para visualizar mi contribución","- Métricas: objetos prestados, tomados prestados, vendidos, comprados, ahorro estimado
- Presentación visual con gráficos
- Desglose por categoría al hacer clic
- Evolución temporal",Alejandro de Pazos Tena,New,3,Sprint 4,Historial,5,COULD
HU-031,User Story,Reportar publicación inapropiada,"Como usuario que encuentra contenido inapropiado
Quiero reportar una publicación
Para mantener calidad y seguridad","- Opción 'Reportar' en detalle de producto
- Motivos predefinidos: Contenido inapropiado, Spam, Info falsa, Precio abusivo, Objeto prohibido, Otro
- Descripción adicional opcional
- Previene reportes duplicados",Jesús de Andrés de las Heras,New,2,Sprint 4,Moderación,3,SHOULD
